sex,variable_code,region_name,variable_name,units,year,value,iso_code
Female,POVCOUNT,Australia and New Zealand,"Poverty headcount, $1.90 threshold",Million people,2017,0.06193,
Female,POVCOUNT, Central Asia and Southern Asia,"Poverty headcount, $1.90 threshold",Million people,2017,95.34745,
Female,POVCOUNT, Eastern and Southeast Asia,"Poverty headcount, $1.90 threshold",Million people,2017,20.21383,
Female,POVCOUNT, Europe and Northern America,"Poverty headcount, $1.90 threshold",Million people,2017,3.503676,
Female,POVCOUNT,Latin America and the Caribbean,"Poverty headcount, $1.90 threshold",Million people,2017,14.67197,
Female,POVCOUNT,Northern Africa and Western Asia,"Poverty headcount, $1.90 threshold",Million people,2017,15.56094,
Female,POVCOUNT, Oceania (excluding Australia and New Zealand),"Poverty headcount, $1.90 threshold",Million people,2017,1.211205,
Female,POVCOUNT, Sub-Saharan Africa,"Poverty headcount, $1.90 threshold",Million people,2017,216.7554,
Female,POVCOUNT,World,"Poverty headcount, $1.90 threshold",Million people,2017,367.3263,
Male,POVCOUNT,Australia and New Zealand,"Poverty headcount, $1.90 threshold",Million people,2017,0.060624,
Male,POVCOUNT, Central Asia and Southern Asia,"Poverty headcount, $1.90 threshold",Million people,2017,86.24249,
Male,POVCOUNT, Eastern and Southeast Asia,"Poverty headcount, $1.90 threshold",Million people,2017,19.46309,
Male,POVCOUNT, Europe and Northern America,"Poverty headcount, $1.90 threshold",Million people,2017,3.165373,
Male,POVCOUNT,Latin America and the Caribbean,"Poverty headcount, $1.90 threshold",Million people,2017,13.68013,
Male,POVCOUNT,Northern Africa and Western Asia,"Poverty headcount, $1.90 threshold",Million people,2017,15.52177,
Male,POVCOUNT, Oceania (excluding Australia and New Zealand),"Poverty headcount, $1.90 threshold",Million people,2017,1.22905,
Male,POVCOUNT, Sub-Saharan Africa,"Poverty headcount, $1.90 threshold",Million people,2017,210.203,
Male,POVCOUNT,World,"Poverty headcount, $1.90 threshold",Million people,2017,349.5654,
Female,POVCOUNT32,Australia and New Zealand,"Poverty headcount, $3.20 threshold",Million people,2017,0.082558,
Female,POVCOUNT32, Central Asia and Southern Asia,"Poverty headcount, $3.20 threshold",Million people,2017,390.921,
Female,POVCOUNT32, Eastern and Southeast Asia,"Poverty headcount, $3.20 threshold",Million people,2017,99.63187,
Female,POVCOUNT32, Europe and Northern America,"Poverty headcount, $3.20 threshold",Million people,2017,5.590094,
Female,POVCOUNT32,Latin America and the Caribbean,"Poverty headcount, $3.20 threshold",Million people,2017,34.77063,
Female,POVCOUNT32,Northern Africa and Western Asia,"Poverty headcount, $3.20 threshold",Million people,2017,43.74758,
Female,POVCOUNT32, Oceania (excluding Australia and New Zealand),"Poverty headcount, $3.20 threshold",Million people,2017,2.41164,
Female,POVCOUNT32, Sub-Saharan Africa,"Poverty headcount, $3.20 threshold",Million people,2017,349.8787,
Female,POVCOUNT32,World,"Poverty headcount, $3.20 threshold",Million people,2017,927.0341,
Male,POVCOUNT32,Australia and New Zealand,"Poverty headcount, $3.20 threshold",Million people,2017,0.10045,
Male,POVCOUNT32, Central Asia and Southern Asia,"Poverty headcount, $3.20 threshold",Million people,2017,402.7269,
Male,POVCOUNT32, Eastern and Southeast Asia,"Poverty headcount, $3.20 threshold",Million people,2017,98.85732,
Male,POVCOUNT32, Europe and Northern America,"Poverty headcount, $3.20 threshold",Million people,2017,5.388497,
Male,POVCOUNT32,Latin America and the Caribbean,"Poverty headcount, $3.20 threshold",Million people,2017,33.08252,
Male,POVCOUNT32,Northern Africa and Western Asia,"Poverty headcount, $3.20 threshold",Million people,2017,43.06563,
Male,POVCOUNT32, Oceania (excluding Australia and New Zealand),"Poverty headcount, $3.20 threshold",Million people,2017,2.467483,
Male,POVCOUNT32, Sub-Saharan Africa,"Poverty headcount, $3.20 threshold",Million people,2017,340.6532,
Male,POVCOUNT32,World,"Poverty headcount, $3.20 threshold",Million people,2017,926.3422,
Female,POVCOUNT55,Australia and New Zealand,"Poverty headcount, $5.50 threshold",Million people,2017,0.121927,
Female,POVCOUNT55, Central Asia and Southern Asia,"Poverty headcount, $5.50 threshold",Million people,2017,707.298,
Female,POVCOUNT55, Eastern and Southeast Asia,"Poverty headcount, $5.50 threshold",Million people,2017,301.4591,
Female,POVCOUNT55, Europe and Northern America,"Poverty headcount, $5.50 threshold",Million people,2017,14.58361,
Female,POVCOUNT55,Latin America and the Caribbean,"Poverty headcount, $5.50 threshold",Million people,2017,82.74694,
Female,POVCOUNT55,Northern Africa and Western Asia,"Poverty headcount, $5.50 threshold",Million people,2017,99.09255,
Female,POVCOUNT55, Oceania (excluding Australia and New Zealand),"Poverty headcount, $5.50 threshold",Million people,2017,3.780462,
Female,POVCOUNT55, Sub-Saharan Africa,"Poverty headcount, $5.50 threshold",Million people,2017,441.2741,
Female,POVCOUNT55,World,"Poverty headcount, $5.50 threshold",Million people,2017,1650.357,
Male,POVCOUNT55,Australia and New Zealand,"Poverty headcount, $5.50 threshold",Million people,2017,0.134721,
Male,POVCOUNT55, Central Asia and Southern Asia,"Poverty headcount, $5.50 threshold",Million people,2017,742.0178,
Male,POVCOUNT55, Eastern and Southeast Asia,"Poverty headcount, $5.50 threshold",Million people,2017,307.0451,
Male,POVCOUNT55, Europe and Northern America,"Poverty headcount, $5.50 threshold",Million people,2017,13.83075,
Male,POVCOUNT55,Latin America and the Caribbean,"Poverty headcount, $5.50 threshold",Million people,2017,78.31014,
Male,POVCOUNT55,Northern Africa and Western Asia,"Poverty headcount, $5.50 threshold",Million people,2017,98.91886,
Male,POVCOUNT55, Oceania (excluding Australia and New Zealand),"Poverty headcount, $5.50 threshold",Million people,2017,3.896598,
Male,POVCOUNT55, Sub-Saharan Africa,"Poverty headcount, $5.50 threshold",Million people,2017,432.5938,
Male,POVCOUNT55,World,"Poverty headcount, $5.50 threshold",Million people,2017,1676.748,
Female,POVCOUNTNPL,Australia and New Zealand,"Poverty headcount, National Poverty Line threshold",Million people,2017,1.803174,
Female,POVCOUNTNPL, Central Asia and Southern Asia,"Poverty headcount, National Poverty Line threshold",Million people,2017,194.8364,
Female,POVCOUNTNPL, Eastern and Southeast Asia,"Poverty headcount, National Poverty Line threshold",Million people,2017,81.76846,
Female,POVCOUNTNPL, Europe and Northern America,"Poverty headcount, National Poverty Line threshold",Million people,2017,80.07213,
Female,POVCOUNTNPL,Latin America and the Caribbean,"Poverty headcount, National Poverty Line threshold",Million people,2017,97.82791,
Female,POVCOUNTNPL,Northern Africa and Western Asia,"Poverty headcount, National Poverty Line threshold",Million people,2017,54.63966,
Female,POVCOUNTNPL, Oceania (excluding Australia and New Zealand),"Poverty headcount, National Poverty Line threshold",Million people,2017,1.790882,
Female,POVCOUNTNPL, Sub-Saharan Africa,"Poverty headcount, National Poverty Line threshold",Million people,2017,208.6452,
Female,POVCOUNTNPL,World,"Poverty headcount, National Poverty Line threshold",Million people,2017,721.3837,
Male,POVCOUNTNPL,Australia and New Zealand,"Poverty headcount, National Poverty Line threshold",Million people,2017,1.707278,
Male,POVCOUNTNPL, Central Asia and Southern Asia,"Poverty headcount, National Poverty Line threshold",Million people,2017,196.8145,
Male,POVCOUNTNPL, Eastern and Southeast Asia,"Poverty headcount, National Poverty Line threshold",Million people,2017,81.54967,
Male,POVCOUNTNPL, Europe and Northern America,"Poverty headcount, National Poverty Line threshold",Million people,2017,70.70824,
Male,POVCOUNTNPL,Latin America and the Caribbean,"Poverty headcount, National Poverty Line threshold",Million people,2017,92.21542,
Male,POVCOUNTNPL,Northern Africa and Western Asia,"Poverty headcount, National Poverty Line threshold",Million people,2017,53.99123,
Male,POVCOUNTNPL, Oceania (excluding Australia and New Zealand),"Poverty headcount, National Poverty Line threshold",Million people,2017,1.830713,
Male,POVCOUNTNPL, Sub-Saharan Africa,"Poverty headcount, National Poverty Line threshold",Million people,2017,201.7523,
Male,POVCOUNTNPL,World,"Poverty headcount, National Poverty Line threshold",Million people,2017,700.5692,
Female,POVRATE,Australia and New Zealand,"Poverty rate, $1.90 threshold",Percent of population,2017,0.4205962,
Female,POVRATE, Central Asia and Southern Asia,"Poverty rate, $1.90 threshold",Percent of population,2017,10.12182,
Female,POVRATE, Eastern and Southeast Asia,"Poverty rate, $1.90 threshold",Percent of population,2017,1.778331,
Female,POVRATE, Europe and Northern America,"Poverty rate, $1.90 threshold",Percent of population,2017,0.6151986,
Female,POVRATE,Latin America and the Caribbean,"Poverty rate, $1.90 threshold",Percent of population,2017,4.55597,
Female,POVRATE,Northern Africa and Western Asia,"Poverty rate, $1.90 threshold",Percent of population,2017,6.399793,
Female,POVRATE, Oceania (excluding Australia and New Zealand),"Poverty rate, $1.90 threshold",Percent of population,2017,23.20128,
Female,POVRATE, Sub-Saharan Africa,"Poverty rate, $1.90 threshold",Percent of population,2017,42.78153,
Female,POVRATE,World,"Poverty rate, $1.90 threshold",Percent of population,2017,9.821609,
Male,POVRATE,Australia and New Zealand,"Poverty rate, $1.90 threshold",Percent of population,2017,0.4163089,
Male,POVRATE, Central Asia and Southern Asia,"Poverty rate, $1.90 threshold",Percent of population,2017,8.606094,
Male,POVRATE, Eastern and Southeast Asia,"Poverty rate, $1.90 threshold",Percent of population,2017,1.66219,
Male,POVRATE, Europe and Northern America,"Poverty rate, $1.90 threshold",Percent of population,2017,0.5872884,
