region,year,parameter,lower,value,upper
world,2000,mmr,318.871963176811,339.016190644049,360.212347220098
world,2000,pm,0.118971565712316,0.126487404539806,0.134395719556945
world,2000,maternal_deaths_summation_of_country_estimates,446507.357672894,446507.357672894,446507.357672894
world,2000,births,133556000.0,133556000.0,133556000.0
world,2000,hiv_related_indirect_mmr,4.81688983185347e-05,4.81688983185347e-05,4.81688983185347e-05
world,2000,hiv_related_indirect_maternal_deaths,6433.24538383023,6433.24538383023,6433.24538383023
world,2000,hiv_related_indirect_percentage,1.44079269317285,1.44079269317285,1.44079269317285
world,2000,lifetime_risk,0.0080906343630375,0.0085883091879388,0.0091125425895581
world,2000,lifetime_risk_1_in,124.0,116.0,110.0
world,2001,mmr,315.027656222316,334.375963054839,355.364299614476
world,2001,pm,0.117033848181519,0.12422181012607,0.132019048704926
world,2001,maternal_deaths_summation_of_country_estimates,439674.385438887,439674.385438887,439674.385438887
world,2001,births,133436000.0,133436000.0,133436000.0
world,2001,hiv_related_indirect_mmr,5.29283414041133e-05,5.29283414041133e-05,5.29283414041133e-05
world,2001,hiv_related_indirect_maternal_deaths,7062.54616359927,7062.54616359927,7062.54616359927
world,2001,hiv_related_indirect_percentage,1.6063128527602,1.6063128527602,1.6063128527602
world,2001,lifetime_risk,0.0080171143258614,0.0085020550886154,0.0090288051049329
world,2001,lifetime_risk_1_in,125.0,118.0,111.0
world,2002,mmr,303.914270610373,322.464286699673,341.876393466301
world,2002,pm,0.1125504822617,0.119420226326761,0.126609233851519
world,2002,maternal_deaths_summation_of_country_estimates,424767.996379532,424767.996379532,424767.996379532
world,2002,births,133603000.0,133603000.0,133603000.0
world,2002,hiv_related_indirect_mmr,5.37923691955156e-05,5.37923691955156e-05,5.37923691955156e-05
world,2002,hiv_related_indirect_maternal_deaths,7186.82190162847,7186.82190162847,7186.82190162847
world,2002,hiv_related_indirect_percentage,1.69194053292259,1.69194053292259,1.69194053292259
world,2002,lifetime_risk,0.0076468117735288,0.0080894340281191,0.0085781604680935
world,2002,lifetime_risk_1_in,131.0,124.0,117.0
world,2003,mmr,294.661257342701,311.793177556445,330.660219978428
world,2003,pm,0.109310110962259,0.115665517561855,0.122664600234871
world,2003,maternal_deaths_summation_of_country_estimates,411463.943215029,411463.943215029,411463.943215029
world,2003,births,133893000.0,133893000.0,133893000.0
world,2003,hiv_related_indirect_mmr,5.60640035091358e-05,5.60640035091358e-05,5.60640035091358e-05
world,2003,hiv_related_indirect_maternal_deaths,7506.57762184872,7506.57762184872,7506.57762184872
world,2003,hiv_related_indirect_percentage,1.82435854845386,1.82435854845386,1.82435854845386
world,2003,lifetime_risk,0.0069774282438672,0.0073734461507183,0.0078023881866115
world,2003,lifetime_risk_1_in,143.0,136.0,128.0
world,2004,mmr,288.174994992791,304.782493299241,323.102181173502
world,2004,pm,0.107848439624455,0.114063735224481,0.120919811518316
world,2004,maternal_deaths_summation_of_country_estimates,404629.113991852,404629.113991852,404629.113991852
world,2004,births,134827000.0,134827000.0,134827000.0
world,2004,hiv_related_indirect_mmr,5.6931470716798e-05,5.6931470716798e-05,5.6931470716798e-05
world,2004,hiv_related_indirect_maternal_deaths,7675.89940233373,7675.89940233373,7675.89940233373
world,2004,hiv_related_indirect_percentage,1.89702103405448,1.89702103405448,1.89702103405448
world,2004,lifetime_risk,0.0071875446171268,0.0075802180941729,0.0080218970451206
world,2004,lifetime_risk_1_in,139.0,132.0,125.0
world,2005,mmr,280.527194835103,296.103248629056,313.927895998452
world,2005,pm,0.106420227989217,0.112329128183008,0.119091050277561
world,2005,maternal_deaths_summation_of_country_estimates,394763.758925644,394763.758925644,394763.758925644
world,2005,births,135405000.0,135405000.0,135405000.0
