region,year,female,male
Arab States,1990,18.76590569,31.03275122
Arab States,1991,20.05216155,32.16465536
Arab States,1992,21.39281831,33.34975487
Arab States,1993,22.6947786,34.49834656
Arab States,1994,23.98196894,35.62437829
Arab States,1995,25.27514244,36.74975624
Arab States,1996,26.77641758,37.8672353
Arab States,1997,27.19661497,38.58911225
Arab States,1998,27.5654422,39.3156589
Arab States,1999,27.97351463,40.04437572
Arab States,2000,28.39227438,40.73160107
Arab States,2001,28.8044557,41.26660701
Arab States,2002,29.24332334,41.77874826
Arab States,2003,29.73070836,42.4295585
Arab States,2004,30.24564708,43.11047733
Arab States,2005,30.70916127,43.94107327
Arab States,2006,31.3492302,44.94138446
Arab States,2007,33.3819615,46.4700903
Arab States,2008,34.92156776,47.48272675
Arab States,2009,36.54114705,48.52182951
Arab States,2010,38.0496691,49.42480186
Arab States,2011,39.91987116,50.66395743
Arab States,2012,41.73743483,51.93388202
Arab States,2013,43.71665152,53.15109813
Arab States,2014,45.51166597,54.18012064
Arab States,2015,47.2016017,55.14228968
Arab States,2016,48.80361977,56.05147039
Arab States,2017,50.21820215,57.51657985
Arab States,2018,51.96877975,58.93913703
Arab States,2019,53.75771103,60.18769633
Arab States,2020,53.90198718,60.57825009
Arab States,2021,53.81279842,60.44328083
East Asia and the Pacific,1990,25.83179982,39.43401581
East Asia and the Pacific,1991,27.17392213,40.96645623
East Asia and the Pacific,1992,28.50955811,42.48779257
East Asia and the Pacific,1993,29.84579881,44.01021318
East Asia and the Pacific,1994,31.18740697,45.54459546
East Asia and the Pacific,1995,32.53056441,47.08324592
East Asia and the Pacific,1996,34.01311151,48.68252437
East Asia and the Pacific,1997,35.49974464,50.27673779
East Asia and the Pacific,1998,36.98130757,51.86425425
East Asia and the Pacific,1999,38.46049357,53.44750228
East Asia and the Pacific,2000,39.92861247,55.01126914
East Asia and the Pacific,2001,41.54416166,56.26036038
East Asia and the Pacific,2002,43.15916992,57.50595773
