year,entity_name,female,male
1990,High income,49.0099511395861,72.8127814015985
1990,Low income,61.764255220936,78.8863317688843
1990,Lower middle income,37.1654314949642,78.5734962755706
1990,Upper middle income,62.9009248791892,82.6675397992435
1991,High income,49.4001944135404,72.6834481242676
1991,Low income,61.9357055673846,78.9365793181168
1991,Lower middle income,37.1641889781342,78.4006535494673
1991,Upper middle income,62.7172388091506,82.5303100219326
1992,High income,49.4621336559872,72.3641864357974
1992,Low income,61.9513292041525,78.9414285143189
1992,Lower middle income,37.2490074470867,78.2903001970406
1992,Upper middle income,62.5500225757878,82.31411416782
1993,High income,49.3905806843481,71.932663966056
1993,Low income,61.7833940727194,78.823070248031
1993,Lower middle income,37.2273216366403,78.1280292243222
1993,Upper middle income,62.1626030750787,81.9552483344431
1994,High income,49.7245155080064,71.5811535041219
1994,Low income,61.7593574106565,78.6801337594951
1994,Lower middle income,37.4765029083913,78.1312027614331
1994,Upper middle income,62.0698414195193,81.6216056827107
1995,High income,49.7951893868062,71.2646205213565
1995,Low income,61.9751094972378,78.5798386876133
1995,Lower middle income,37.4602574758838,78.3455379330978
1995,Upper middle income,62.0327066003634,81.3241684519187
1996,High income,49.9867164271023,71.1131351009752
1996,Low income,62.0343135017989,78.5230125863021
1996,Lower middle income,37.6209245112599,78.5764452610869
1996,Upper middle income,61.7502443058904,80.8886210133382
1997,High income,50.3501513203979,71.0202698398803
1997,Low income,62.0432805675326,78.463524396287
1997,Lower middle income,37.677532776893,78.7602465602953
1997,Upper middle income,61.6901274381141,80.6885987583222
1998,High income,50.3680307439761,70.8192557341362
1998,Low income,62.0325231095012,78.3902830954393
1998,Lower middle income,38.0254907446087,78.9027814582006
1998,Upper middle income,61.5072108835528,80.405427841798
1999,High income,50.6538211494951,70.6214689550429
1999,Low income,61.9971418298174,78.29289210996
1999,Lower middle income,38.2202742892003,79.2056960756787
1999,Upper middle income,61.6607984639356,80.3451083807677
2000,High income,50.8876403499508,70.5397112971592
2000,Low income,62.050558079199,78.1910226181141
2000,Lower middle income,38.3602533615566,79.3498453913889
2000,Upper middle income,61.4506949007256,80.028024296212
