iso3,country,value,year,female_pop,continent,income_level,africa_highlight,europe_highlight,low_income_highlight,high_income_highlight,low_high_income_highlight,bin
AFG,Afghanistan,0.678,2021,19844584.0,Asia,Low income,,,Low income,,Low income,"[0.6, 0.8)"
ALB,Albania,0.144,2021,1407212.0,Europe,Upper middle income,,Europe,,,,"[0.0, 0.2)"
DZA,Algeria,0.499,2021,21680725.0,Africa,Lower middle income,Africa,,,,,"[0.4, 0.6)"
AGO,Angola,0.537,2021,17452283.0,Africa,Lower middle income,Africa,,,,,"[0.4, 0.6)"
ARG,Argentina,0.287,2021,23130548.0,America,Upper middle income,,,,,,"[0.2, 0.4)"
ARM,Armenia,0.216,2021,1534475.0,Asia,Upper middle income,,,,,,"[0.2, 0.4)"
AUS,Australia,0.073,2021,12936002.0,Oceania,High income,,,,High income,High income,"[0.0, 0.2)"
AUT,Austria,0.053,2021,4548093.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
AZE,Azerbaijan,0.294,2021,5135000.0,Asia,Upper middle income,,,,,,"[0.2, 0.4)"
BHS,Bahamas,0.329,2021,212878.0,America,High income,,,,High income,High income,"[0.2, 0.4)"
BHR,Bahrain,0.181,2021,554616.0,Asia,High income,,,,High income,High income,"[0.0, 0.2)"
BGD,Bangladesh,0.53,2021,85358163.0,Asia,Lower middle income,,,,,,"[0.4, 0.6)"
BRB,Barbados,0.268,2021,146366.0,America,High income,,,,High income,High income,"[0.2, 0.4)"
BLR,Belarus,0.104,2021,5034947.0,Europe,Upper middle income,,Europe,,,,"[0.0, 0.2)"
BEL,Belgium,0.048,2021,5867228.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
BLZ,Belize,0.364,2021,198800.0,America,Upper middle income,,,,,,"[0.2, 0.4)"
BEN,Benin,0.602,2021,6487184.0,Africa,Lower middle income,Africa,,,,,"[0.6, 0.8)"
BTN,Bhutan,0.415,2021,365818.0,Asia,Lower middle income,,,,,,"[0.4, 0.6)"
BOL,Bolivia (Plurinational State of),0.418,2021,6020925.0,America,Lower middle income,,,,,,"[0.4, 0.6)"
BIH,Bosnia and Herzegovina,0.136,2021,1660775.0,Europe,Upper middle income,,Europe,,,,"[0.0, 0.2)"
BWA,Botswana,0.468,2021,1310688.0,Africa,Upper middle income,Africa,,,,,"[0.4, 0.6)"
BRA,Brazil,0.39,2021,109034931.0,America,Upper middle income,,,,,,"[0.2, 0.4)"
BRN,Brunei Darussalam,0.259,2021,214922.0,Asia,High income,,,,High income,High income,"[0.2, 0.4)"
BGR,Bulgaria,0.21,2021,3542329.0,Europe,Upper middle income,,Europe,,,,"[0.2, 0.4)"
BFA,Burkina Faso,0.621,2021,11089986.0,Africa,Low income,Africa,,Low income,,Low income,"[0.6, 0.8)"
BDI,Burundi,0.505,2021,6319427.0,Africa,Low income,Africa,,Low income,,Low income,"[0.4, 0.6)"
CPV,Cabo Verde,0.349,2021,295580.0,Africa,Lower middle income,Africa,,,,,"[0.2, 0.4)"
KHM,Cambodia,0.461,2021,8376956.0,Asia,Lower middle income,,,,,,"[0.4, 0.6)"
CMR,Cameroon,0.565,2021,13634397.0,Africa,Lower middle income,Africa,,,,,"[0.4, 0.6)"
CAN,Canada,0.069,2021,19240835.0,America,High income,,,,High income,High income,"[0.0, 0.2)"
CAF,Central African Republic,0.672,2021,2728875.0,Africa,Low income,Africa,,Low income,,Low income,"[0.6, 0.8)"
TCD,Chad,0.652,2021,8556210.0,Africa,Low income,Africa,,Low income,,Low income,"[0.6, 0.8)"
CHL,Chile,0.187,2021,9818163.0,America,High income,,,,High income,High income,"[0.0, 0.2)"
CHN,China,0.192,2021,691219627.0,Asia,Upper middle income,,,,,,"[0.0, 0.2)"
COL,Colombia,0.424,2021,26101321.0,America,Upper middle income,,,,,,"[0.4, 0.6)"
COG,Congo,0.564,2021,2921372.0,Africa,Lower middle income,Africa,,,,,"[0.4, 0.6)"
COD,Congo (Democratic Republic of the),0.601,2021,48319268.0,Africa,Low income,Africa,,Low income,,Low income,"[0.6, 0.8)"
CRI,Costa Rica,0.256,2021,2575216.0,America,Upper middle income,,,,,,"[0.2, 0.4)"
HRV,Croatia,0.093,2021,2000607.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
CUB,Cuba,0.303,2021,5667114.0,America,Upper middle income,,,,,,"[0.2, 0.4)"
CYP,Cyprus,0.123,2021,621034.0,Asia,High income,,,,High income,High income,"[0.0, 0.2)"
CZE,Czechia,0.12,2021,5331795.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
CIV,Côte d'Ivoire,0.613,2021,13600535.0,Africa,Lower middle income,Africa,,,,,"[0.6, 0.8)"
DNK,Denmark,0.013,2021,2943337.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
DOM,Dominican Republic,0.429,2021,5535650.0,America,Upper middle income,,,,,,"[0.4, 0.6)"
ECU,Ecuador,0.362,2021,8910903.0,America,Upper middle income,,,,,,"[0.2, 0.4)"
EGY,Egypt,0.443,2021,54001891.0,Africa,Lower middle income,Africa,,,,,"[0.4, 0.6)"
SLV,El Salvador,0.376,2021,3307476.0,America,Lower middle income,,,,,,"[0.2, 0.4)"
EST,Estonia,0.1,2021,699703.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
SWZ,Eswatini (Kingdom of),0.54,2021,600441.0,Africa,Lower middle income,Africa,,,,,"[0.4, 0.6)"
ETH,Ethiopia,0.52,2021,59839622.0,Africa,Low income,Africa,,Low income,,Low income,"[0.4, 0.6)"
FJI,Fiji,0.318,2021,460926.0,Oceania,Upper middle income,,,,,,"[0.2, 0.4)"
FIN,Finland,0.033,2021,2803508.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
FRA,France,0.083,2021,34998692.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
GAB,Gabon,0.541,2021,1148767.0,Africa,Upper middle income,Africa,,,,,"[0.4, 0.6)"
GMB,Gambia,0.611,2021,1326796.0,Africa,Low income,Africa,,Low income,,Low income,"[0.6, 0.8)"
GEO,Georgia,0.28,2021,1964929.0,Asia,Upper middle income,,,,,,"[0.2, 0.4)"
DEU,Germany,0.073,2021,42146923.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
GHA,Ghana,0.529,2021,16457496.0,Africa,Lower middle income,Africa,,,,,"[0.4, 0.6)"
GRC,Greece,0.119,2021,5428390.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
GTM,Guatemala,0.481,2021,8639673.0,America,Upper middle income,,,,,,"[0.4, 0.6)"
GIN,Guinea,0.621,2021,6846006.0,Africa,Low income,Africa,,Low income,,Low income,"[0.6, 0.8)"
GNB,Guinea-Bissau,0.627,2021,1043505.0,Africa,Low income,Africa,,Low income,,Low income,"[0.6, 0.8)"
GUY,Guyana,0.454,2021,410932.0,America,Upper middle income,,,,,,"[0.4, 0.6)"
HTI,Haiti,0.635,2021,5774718.0,America,Lower middle income,,,,,,"[0.6, 0.8)"
HND,Honduras,0.431,2021,5087643.0,America,Lower middle income,,,,,,"[0.4, 0.6)"
HUN,Hungary,0.221,2021,5055557.0,Europe,High income,,Europe,,High income,High income,"[0.2, 0.4)"
ISL,Iceland,0.043,2021,181577.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
IND,India,0.49,2021,681060412.0,Asia,Lower middle income,,,,,,"[0.4, 0.6)"
IDN,Indonesia,0.444,2021,135900714.0,Asia,Lower middle income,,,,,,"[0.4, 0.6)"
IRN,Iran (Islamic Republic of),0.459,2021,43496643.0,Asia,Lower middle income,,,,,,"[0.4, 0.6)"
IRQ,Iraq,0.558,2021,21736184.0,Asia,Upper middle income,,,,,,"[0.4, 0.6)"
IRL,Ireland,0.074,2021,2539135.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
ISR,Israel,0.083,2021,4695549.0,Asia,High income,,,,High income,High income,"[0.0, 0.2)"
ITA,Italy,0.056,2021,30300094.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
JAM,Jamaica,0.335,2021,1424743.0,America,Upper middle income,,,,,,"[0.2, 0.4)"
JPN,Japan,0.083,2021,64594414.0,Asia,High income,,,,High income,High income,"[0.0, 0.2)"
JOR,Jordan,0.471,2021,5368123.0,Asia,Upper middle income,,,,,,"[0.4, 0.6)"
KAZ,Kazakhstan,0.161,2021,9864589.0,Asia,Upper middle income,,,,,,"[0.0, 0.2)"
KEN,Kenya,0.506,2021,26726429.0,Africa,Lower middle income,Africa,,,,,"[0.4, 0.6)"
KOR,Korea (Republic of),0.067,2021,25902500.0,Asia,High income,,,,High income,High income,"[0.0, 0.2)"
KWT,Kuwait,0.305,2021,1659419.0,Asia,High income,,,,High income,High income,"[0.2, 0.4)"
KGZ,Kyrgyzstan,0.37,2021,3405781.0,Asia,Lower middle income,,,,,,"[0.2, 0.4)"
LAO,Lao People's Democratic Republic,0.478,2021,3682483.0,Asia,Lower middle income,,,,,,"[0.4, 0.6)"
LVA,Latvia,0.151,2021,1011596.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
LBN,Lebanon,0.432,2021,2879140.0,Asia,Lower middle income,,,,,,"[0.4, 0.6)"
LSO,Lesotho,0.557,2021,1155756.0,Africa,Lower middle income,Africa,,,,,"[0.4, 0.6)"
LBR,Liberia,0.648,2021,2608243.0,Africa,Low income,Africa,,Low income,,Low income,"[0.6, 0.8)"
LBY,Libya,0.259,2021,3325769.0,Africa,Upper middle income,Africa,,,,,"[0.2, 0.4)"
LTU,Lithuania,0.105,2021,1486443.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
LUX,Luxembourg,0.044,2021,317924.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
MDG,Madagascar,0.556,2021,14424717.0,Africa,Low income,Africa,,Low income,,Low income,"[0.4, 0.6)"
MWI,Malawi,0.554,2021,10218942.0,Africa,Low income,Africa,,Low income,,Low income,"[0.4, 0.6)"
MYS,Malaysia,0.228,2021,16407343.0,Asia,Upper middle income,,,,,,"[0.2, 0.4)"
MDV,Maldives,0.348,2021,220721.0,Asia,Upper middle income,,,,,,"[0.2, 0.4)"
MLI,Mali,0.613,2021,10844239.0,Africa,Low income,Africa,,Low income,,Low income,"[0.6, 0.8)"
MLT,Malta,0.167,2021,248831.0,Europe,High income,,Europe,,High income,High income,"[0.0, 0.2)"
MRT,Mauritania,0.632,2021,2354385.0,Africa,Lower middle income,Africa,,,,,"[0.6, 0.8)"
MUS,Mauritius,0.347,2021,641326.0,Africa,Upper middle income,Africa,,,,,"[0.2, 0.4)"
MEX,Mexico,0.309,2021,64849001.0,America,Upper middle income,,,,,,"[0.2, 0.4)"
MDA,Moldova (Republic of),0.205,2021,1373816.0,Europe,Upper middle income,,Europe,,,,"[0.2, 0.4)"
MNG,Mongolia,0.313,2021,1686321.0,Asia,Lower middle income,,,,,,"[0.2, 0.4)"
MNE,Montenegro,0.119,2021,317538.0,Europe,Upper middle income,,Europe,,,,"[0.0, 0.2)"
MAR,Morocco,0.425,2021,18410922.0,Africa,Lower middle income,Africa,,,,,"[0.4, 0.6)"
MOZ,Mozambique,0.537,2021,16339849.0,Africa,Low income,Africa,,Low income,,Low income,"[0.4, 0.6)"
